age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2020,,0.8
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2021,,0.71
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2011,,0.57
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2012,,0.38
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2013,,0.34
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2014,,0.39
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2015,,0.5
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2016,,0.68
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2017,,0.54
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2018,,0.17
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2019,,0.36
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2020,,0.37
Y35-39,From 35 to 39 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2021,,0.58
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2011,,0.19
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2012,,0.33
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2013,,0.19
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2014,,0.44
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2015,,0.2
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2016,,0.31
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2017,,0.71
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2018,,0.28
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2019,,0.36
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2020,,0.25
Y35-39,From 35 to 39 years,C15,Malignant neoplasm of oesophagus,2021,,0.39
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2011,,1.1
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2012,,0.86
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2013,,0.91
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2014,,0.93
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2015,,1.01
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2016,,0.78
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2017,,1.14
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2018,,1.08
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2019,,1.01
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2020,,0.86
Y35-39,From 35 to 39 years,C16,Malignant neoplasm of stomach,2021,,1.35
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2011,,1.19
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2012,,1.71
