age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y65-69,From 65 to 69 years,R,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2019,,28.68
Y65-69,From 65 to 69 years,R,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2020,,18.74
Y65-69,From 65 to 69 years,R,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2021,,16.05
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2011,,25.26
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2012,,23.01
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2013,,18.4
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2014,,19.4
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2015,,17.7
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2016,,14.52
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2017,,18.1
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2018,,19.87
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2019,,20.45
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2020,,14.57
Y65-69,From 65 to 69 years,R96-R99,Ill-defined and unknown causes of mortality,2021,,11.14
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2011,,0.69
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2012,,0.75
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2013,,0.46
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2014,,0.45
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2015,,0.63
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2016,,0.62
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2017,,0.79
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2018,,0.52
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2019,,0.95
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2020,,0.51
Y65-69,From 65 to 69 years,RHEUM_ARTHRO,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",2021,,1
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2011,,7.83
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2012,,8.21
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2013,,7.96
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2014,,9.79
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2015,,9.03
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2016,,6.86
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2017,,8.17
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2018,,7.84
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2019,,8.23
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2020,,4.17
Y65-69,From 65 to 69 years,R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)",2021,,4.91
Y65-69,From 65 to 69 years,U071,"COVID-19, virus identified",2020,,187.33
Y65-69,From 65 to 69 years,U071,"COVID-19, virus identified",2021,,163.07
Y65-69,From 65 to 69 years,U072,"COVID-19, virus not identified",2020,,20.19
Y65-69,From 65 to 69 years,U072,"COVID-19, virus not identified",2021,,1.33
Y65-69,From 65 to 69 years,U_COV19_OTH,"COVID-19, other",2020,,0
Y65-69,From 65 to 69 years,U_COV19_OTH,"COVID-19, other",2021,,0.08
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2011,,1.57
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2012,,2.36
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2013,,2.65
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2014,,1.17
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2015,,1.43
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2016,,1.42
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2017,,1.76
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2018,,2
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2019,,1.73
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2020,,0.85
Y65-69,From 65 to 69 years,V01-Y89_OTH,Other external causes of morbidity and mortality (remainder of V01-Y89),2021,,0.25
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2011,,9.79
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2012,,6.98
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2013,,7.23
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2014,,8.17
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2015,,7.15
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2016,,7.12
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2017,,7.47
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2018,,8.63
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2019,,7.45
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2020,,6.56
Y65-69,From 65 to 69 years,V_Y85,"Transport accidents (V01-V99, Y85)",2021,,6.9
Y65-69,From 65 to 69 years,W00-W19,Falls,2011,,5.97
Y65-69,From 65 to 69 years,W00-W19,Falls,2012,,7.36
Y65-69,From 65 to 69 years,W00-W19,Falls,2013,,5.68
Y65-69,From 65 to 69 years,W00-W19,Falls,2014,,8.08
Y65-69,From 65 to 69 years,W00-W19,Falls,2015,,8.31
Y65-69,From 65 to 69 years,W00-W19,Falls,2016,,9.53
Y65-69,From 65 to 69 years,W00-W19,Falls,2017,,8.35
Y65-69,From 65 to 69 years,W00-W19,Falls,2018,,9.5
Y65-69,From 65 to 69 years,W00-W19,Falls,2019,,6.41
Y65-69,From 65 to 69 years,W00-W19,Falls,2020,,9.46
Y65-69,From 65 to 69 years,W00-W19,Falls,2021,,9.31
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2011,,1.66
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2012,,1.7
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2013,,1.92
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2014,,2.24
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2015,,1.52
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2016,,2.05
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2017,,2.99
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2018,,1.92
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2019,,2.77
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2020,,1.28
Y65-69,From 65 to 69 years,W65-W74,Accidental drowning and submersion,2021,,1.83
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2011,,1.37
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2012,,1.23
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2013,,1.01
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2014,,1.35
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2015,,0.8
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2016,,1.6
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2017,,1.23
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2018,,1.05
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2019,,1.3
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2020,,1.53
Y65-69,From 65 to 69 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2021,,1.16
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2011,,13.61
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2012,,12.45
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2013,,17.21
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2014,,15.35
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2015,,14.84
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2016,,15.49
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2017,,14.15
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2018,,14.2
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2019,,14.56
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2020,,15.93
Y65-69,From 65 to 69 years,X60-X84_Y870,Intentional self-harm,2021,,13.31
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2011,,0.98
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2012,,0.94
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2013,,1.01
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2014,,0.72
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2015,,0.36
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2016,,0.45
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2017,,0.7
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2018,,0.44
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2019,,0.52
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2020,,1.02
Y65-69,From 65 to 69 years,X85-Y09_Y871,Assault,2021,,0.83
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2011,,0.1
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2012,,0.38
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2013,,0
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2014,,0.36
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2015,,0.09
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2016,,0
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2017,,0.09
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2018,,0.17
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2019,,0.17
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2020,,0.09
Y65-69,From 65 to 69 years,Y10-Y34_Y872,Event of undetermined intent,2021,,0.17
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2011,,1.38
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2012,,2.03
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2013,,2.21
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2014,,1.38
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2015,,1.43
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2016,,1.07
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2017,,1.65
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2018,,1.2
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2019,,0.78
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2020,,0.68
Y70-74,From 70 to 74 years,A15-A19_B90,Tuberculosis,2021,,0.78
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2011,,46.74
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2012,,45.21
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2013,,42.31
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2014,,40.02
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2015,,45.44
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2016,,49.09
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2017,,42.61
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2018,,48.32
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2019,,48.13
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2020,,45.39
Y70-74,From 70 to 74 years,ACC,"Accidents (V01-X59, Y85, Y86)",2021,,44.45
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2011,,24.12
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2012,,18.92
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2013,,14.14
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2014,,15.64
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2015,,17.16
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2016,,21.54
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2017,,17.58
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2018,,21.35
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2019,,20.58
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2020,,18.89
Y70-74,From 70 to 74 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2021,,18.54
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2011,,22.24
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2012,,21.33
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2013,,21.77
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2014,,21.39
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2015,,27.4
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2016,,24.22
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2017,,23.79
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2018,,24.66
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2019,,21.76
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2020,,20.45
Y70-74,From 70 to 74 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2021,,23.1
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2011,,4.52
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2012,,4.06
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2013,,2.83
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2014,,5.52
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2015,,5.39
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2016,,2.89
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2017,,3.1
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2018,,2.71
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2019,,1.47
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2020,,1.56
Y70-74,From 70 to 74 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2021,,1.26
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2011,,3.89
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2012,,3.68
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2013,,2.21
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2014,,4.72
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2015,,4.84
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2016,,2.57
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2017,,2.9
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2018,,2.11
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2019,,1.18
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2020,,1.36
Y70-74,From 70 to 74 years,B180-B182,Chronic viral hepatitis B and C,2021,,0.78
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2011,,1.13
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2012,,1.52
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2013,,1.23
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2014,,1.15
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2015,,1.1
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2016,,0.75
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2017,,1.14
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2018,,1.9
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2019,,0.98
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2020,,0.97
Y70-74,From 70 to 74 years,B20-B24,Human immunodeficiency virus [HIV] disease,2021,,0.97
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2011,,27.77
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2012,,28.19
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2013,,29.03
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2014,,23.35
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2015,,25.31
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2016,,23.9
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2017,,26.37
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2018,,26.87
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2019,,23.62
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2020,,22.5
Y70-74,From 70 to 74 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2021,,22.61
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2011,,27.51
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2012,,27.3
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2013,,27.67
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2014,,23.23
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2015,,25.09
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2016,,26.05
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2017,,24.51
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2018,,22.46
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2019,,23.72
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2020,,23.08
Y70-74,From 70 to 74 years,C15,Malignant neoplasm of oesophagus,2021,,23.78
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2011,,58.67
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2012,,55.37
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2013,,53.87
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2014,,53.36
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2015,,47.2
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2016,,44.37
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2017,,44.78
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2018,,43.21
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2019,,40.77
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2020,,39.44
Y70-74,From 70 to 74 years,C16,Malignant neoplasm of stomach,2021,,38.33
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2011,,156.54
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2012,,150.86
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2013,,139.47
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2014,,140.19
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2015,,132.25
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2016,,124.33
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2017,,130.83
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2018,,126.61
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2019,,123.5
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2020,,115.9
Y70-74,From 70 to 74 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2021,,108.02
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2011,,56.41
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2012,,59.69
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2013,,59.53
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2014,,53.94
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2015,,52.37
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2016,,56.38
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2017,,55.64
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2018,,61.25
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2019,,57.53
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2020,,53.18
Y70-74,From 70 to 74 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2021,,52.6
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2011,,58.17
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2012,,58.67
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2013,,59.53
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2014,,58.19
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2015,,56.11
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2016,,59.59
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2017,,56.68
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2018,,64.06
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2019,,62.04
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2020,,62.82
Y70-74,From 70 to 74 years,C25,Malignant neoplasm of pancreas,2021,,60.17
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2011,,23.12
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2012,,22.35
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2013,,19.06
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2014,,18.17
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2015,,22.22
Y70-74,From 70 to 74 years,C32,Malignant neoplasm of larynx,2016,,21.22
